text,x,y
The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,14.468392,3.9660606
"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",14.20686,3.8793793
"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",12.57999,4.7506413
"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",14.349027,3.9692993
Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,12.600524,4.0656433
"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",14.489796,3.9102304
"Stay vigilant, stay safe. As we adapt to COVID-19, know that our office is here for you. We can answer questions about scams, sick time, and fraud.

Consumer Hotline: 617-727-8400
Health Care Hotline: 1-888-830-6277
Fair Labor Hotline: 617-727-3465 https://t.co/GjNWCmtY1U",12.302868,3.7947073
"Spiking prices during a state of emergency is a crime, REPORT IT: https://t.co/k4Zt898LQl 

#Coronavirus #COVID2019 https://t.co/3FgvYt93W7",12.818865,4.105816
"Reminder: a State of Emergency is in effect statewide due to #Coronavirus.

Californians are protected from illegal price gouging on housing, gas, food, and other essential supplies. https://t.co/nw5FHsodTj https://t.co/r8wH8MSped",12.7836485,4.056963
"Low gas prices could hurt economy as #Toronto drivers take advantage:

https://t.co/JqOHbi6b9j @torontodotcom #COVID19 #COVID2019 #CoronaVirusCanada",14.309556,4.1543384
"#COVID_19 fallout : Are all these ghost flights going to swap cabin payload for cargo payload, as self isolated individuals take to online shopping globally as a pastime while waiting for lockdowns to end ?",12.446124,4.4915442
"Ok, so #COVID2019 made flights cheap, emptied busy tourist destinations in Europe, panicked the hell out of the stock markets so now #covid19UK when will you lower the house prices?",13.262234,4.8091807
"Why #Bitcoin price is ?down?
#COVID2019 #scam 
https://t.co/eQx8XHMPtL",13.491946,4.1776013
#US consumer prices unexpectedly rose in February but are likely to decline in the months ahead as the #coronavirus outbreak depresses demand for some goods and services. #COVID19 https://t.co/jF4nuMYX16,13.769232,4.1186676
"@forexlifecom 

Oil Prices Head Higher on U.S. Cut Hopes - 11 March 2020

https://t.co/f1nNNx2T3h

#Forex #forexsignals #forextrading #forextrader #????? #Corona #Covid_19 #coronavirus https://t.co/hsFqDSyHXZ",14.351193,3.9903522
"Be on the lookout for price gouging and other scams related to the COVID-19 virus. Learn more about how to spot them and how to file related consumer complaints at the link below. 

https://t.co/CzzCCNzA1P",12.503288,3.860965
"We are disappointed that some sellers are attempting to artificially raise prices on basic need products during a global health crisis"" @amazonIN
@Flipkart @Grofers @NetMeds
@pharmeasyapp 
#Corona #CoronaVirusUpdate
#COVID2019 #handsanitizer
https://t.co/LPybjsqulX",12.974345,3.892481
"On a different note, Id like to share (&amp; brag) that since this whole #COVID_19 started, I did not need to buy a single #alcohol_based_product I already have everything I might need! And joking aside, its shameful how prices of these have gone up when needed most #??????_?????",13.250348,4.0142503
"@QuickTake @GavinNewsom The low price of cruise ships is enticing. Here is the problem: you may not be able to come back in good health. 

#GrandPrincessCruise #CoronavirusOutbreak #Coronavirustruth  #COVID2019 #CoronaVirusUpdate 

https://t.co/VQ",13.009327,4.831446
Let me guess @SFBART is going to spike up prices to recover from their low profits due to #Covid_19,13.047169,3.8884432
Dont let be lumped in with Toliet paper users folks $ADGS $CSPS $INO these prices arent going to last forever ???? #SocialDistancing #ThursdayThoughts #ThankfulThursday #Covid_19 #blockchain #CoronavirusPandemic #CancelEverythingNow #CoronaVirusUpdate #CoronaOutbreak #Scam https://t.co/5eVT3hCjud,13.235531,3.940602
Local shop cutting the price mark off the labels so they can put the prices up. Taking advantage of a bad situation #CoronavirusPandemic  #Covid_19 #coronavirusuk #coronavirus https://t.co/8gL1iHcXdO,13.1518135,3.9401114
"? New Podcast! ""The Marc Patrone Show - March 12, 2020 - Oil Prices Hit Canada's Economy, Ontario's Budget, Covid-19 &amp; Falling Stock Market"" on @Spreaker #brampton #caledon #canadianeconomy #covid_19 #mississauga #oilpriceshitcanadaeconomy https://t.co/AYaQZ8xhUs",14.358284,4.128287
"Athens Stock Exchange opening: Nosedive 

Equity prices were significantly dropping on the #Athens Stock Exchange on Thursday. The basic share price index was down 9.07 percent

https://t.co/dbtDv2BmGq

#Greece #COVID?19 #Covid_19 #coronavirus",13.913872,4.070849
"Fuel at the lowest price in years however utility bills and fuel prices remain the same. 

Someones making some serious cash out of this global crises. #Covid_19 #COVID19 #CoronavirusPandemic",14.3390045,4.0709953
"#Oil prices will keep falling until Russia or Saudi Arabia hit pain point.
#bakarainvest 
#Covid_19
https://t.co/fYGry4dFV1",14.508517,3.9452074
"MODERN SHIPPING CONTAINER STALLS AT DISCOUNTED PRICES. Both 40ft with5or6stalls&amp;20ft with 3 stalls. Best competitive market rates
? +254741299181 
?:Kelvin@bertriconcontainers.com jkia #UhuruKenyatta Ksh 500 #PassarisAbortionKills baringo embu Kenya airways #Covid_19 #PressPass https://t.co/qNi6tChS62",12.648063,3.9230914
"https://t.co/7xXZMpasJu

Dell desktops just in.Hurry while stock lasts.The prices ??.Check them out in our page ??
#UhuruKenyatta 
Naivasha
#PassarisAbortionKills 
#Covid_19 
#IkoKaziKE",13.393863,4.4250665
"In a #CNBCTV18Exclusive chat, Praveer Sinha of Tata Power says #COVID2019 has not affected coal prices https://t.co/8FbFWKc0n5",14.146183,4.074597
Private companies are using the #Covid_19 crises to extort the public.  Price-gouging during times of crises is unethical and you as the consumer should take note of who did what in your time of need.,12.759724,3.9907892
All this proves is that the world could run at a lesser cost if we wanted. These people literally define prices by demand. Is this not a joke? #Covid_19,14.045823,4.105774
"During the #covid_19 bubble times, the best investment is flight tickets. Just have a look at the prices.",13.1034775,4.977939
"US consumer prices unexpectedly rose in February but could drop in months ahead as COVID-19 depresses demand for some goods &amp; services, outweighing price increases related to shortages caused by disruptions to supply chain.
https://t.co/ta4GzWk3nx",13.739826,4.1899867
@shereka45482005 @JamaicaObserver Hope they also limiting the how they hike up the prices of products that are currently in demand ? twice and three times the original price is not beneficial to all in a crisis situation. Spare a thought for those who wil,12.745954,3.8598728
Great prices on flights to Costa Rica right now due to the #Covid_19 sales https://t.co/XD0JjE7BO0,13.118272,4.9693346
"Are you interested?
Get a $500 Supermarket Gift Card for @australian
Click here: https://t.co/nnJKj1ES79

#gift #GiftCard #Supermarkets #Covid_19 #HeartbreakWeatherWatch https://t.co/uoHvCepkIO",11.739562,3.9299505
INCREIBLE!!!! UNBELIEVABLE!!!! The S&amp;P 500 and Dow fell sharply again as crude-oil prices dropped and investors pour into U.S. government bonds https://t.co/t65yanR9Tk vía @WSJ #COVID_19 #CoronavirusPandemic #COVD19 March Madness #markets,14.314107,3.874475
"U.S. World Food Prices Fell During February: ""World food prices declined in Feb. for the first time in four months due to a sharp fall in the export prices of vegetable oils, partly driven by fears that the COVID-19 outbreak will slow global demand""

Read: https://t.co/Z9viKMTz6B",13.781932,4.2131205
Given all the cons and events being canceled due to #Covid_19 I really hope businesses that serve travelers are reconsidering cancellation policies to help ease the financial burdens on the consumer.,12.616755,4.7873163
You will never see these prices again !!!!!!! Book or nah ? #Covid_19 #cheapflights https://t.co/KTIKDmhkEm,13.167426,4.921355
"GAS PRICES PLUNGE: Line-ups as motorists fill-up at GTA stations as gasoline dips below 90 cents/litre, amid an oil supply surplus &amp; plunging demand w/ongoing #Covid_19 pandemic. https://t.co/5HWT7F1OVx",14.327663,4.166203
"Oil prices at an all time low, Alberta's 3rd winter + Coronavirus madness. I tap world - You Win ! #Covid_19 #oilprice #toiletpapercrisis #albertarecession",14.395178,4.1660266
"#IAG and other European airlines see share prices tumble after Trump travel ban
#COVID2019 $IAG
https://t.co/m9kOWrgHmr https://t.co/IgE0LgqA3m",13.192937,4.958788
"Trump says gas prices will go down and that's  like a big tax cut. You're welcome, America. It won't cost as much to drive to all the funerals. #Covid_19",14.468311,3.877588
Consumer expert Amy Davis is explaining your chances of getting your money back if you decide not to keep your plans due to coronavirus concerns. https://t.co/bbwTDbO7n8 #kprc2 #click2houston #coronavirus https://t.co/yAETit2LRn,12.542901,4.342473
"We're here to help answer your #consumer questions on many topics including: #PriceGouging, #travel insurance, and #scams. 

Call us at (800) 593-822 or visit our website for more info: https://t.co/5vMplCckWY 

#Coronavirus #COVID19 https://t.co/Rs91w043PX",12.633472,4.0519414
"In the wake of the global turmoil &amp; the crisis of the #COVID_19, financial markets, especially bitcoin prices have fallen #sharply. Apps such as #WhatsApp &amp; #Linkup with associated #Blockchain wallet can be used as balance weight for #BTC.
@linkupfounders 
@LinkupFr 
@LinkupRus https://t.co/J7QUgut0di",13.265183,4.0665245
Stock markets in freefall today due to #Covid_19 fears. Shares in Irish agri-food companies are down across the board. Kerry shares have fallen below 100 and Glanbia now down below 10 @farmersjournal #CoronavirusPandemic #COVID19ireland https://t.co/JjftteyQGe,13.91636,3.9911
Attention knowledge workers and the those tempted with the cheap travel prices https://t.co/ORvsjZWY6U #Covid_19 #Corona  #CoronavirusUSA,13.002015,4.682561
"Now that @GovernorVA has declared a state of emergency VA's price gouging protections are now in effect. If you see any exceptionally high prices for #coronavirus necessities let my office know. Price gouging will not be tolerated in VA

Learn more here?
https://t.co/3NfOD5zOYY",12.844926,4.1498637
"These were the different prices of #BTC across leading market data providers during todays dump... (11 am GMT) ? @CryptoCompare = $6267.12 
@CoinMarketCap = $6431.74
@coingecko = $6536.95
@NomicsFinance = $6091.00

Aggregated price = $6331.70 ?
#data #Crypto #Covid_19",13.449822,4.2833595
"@British_Airways  can u plz update ur policy regarding flights coming up in April. The charge to change is more than the tix prices.
Tickets purchased b4 the #Covid_19 outbreak, that has us flying LAS-London on April 4th and out of CDG-LAS on April 15th",13.018553,5.0071
"Airlines: Plane ticket prices are dropping because of the coronavirus. 

My cheap ass making bookings coz if I die I better die in Bali 
#CoronavirusPandemic #Covid_19 https://t.co/MPXjcpcjtG",13.002262,5.0163007
"With the pandemic setting in with the coronavirus, will sports card market take a dip and prices drop 15-25% ? Or will the market stay strong. ?? Please share your thoughts #CoronaVirusUpdate #WorstPresidentInHistory #pandemic #NBA #Covid_19 #CancelEverything",13.714656,3.900886
How far out can I book a flight to Tokyo? Going next May and I want these prices...#Covid_19 #Japan,13.119772,5.027234
"My thoughts right now: 

I keep hearing about people who think its a good idea to take advantage of low airplane ticket prices caused by #Covid_19 to travel the world right now......and at the risk of sounding preachy, I have to reiterate this quote from @JustinTrudeau",13.123625,4.986385
Just so were clear the gas prices arent related to #Covid_19 but definitely are related to the global economic crash,14.369025,3.9930816
We shoulda boycotted thre airline prices a long time ago #Covid_19,13.107244,5.0073795
"Airlines: Plane ticket prices are dropping because of the coronavirus. 

My great ass making bookings coz if I die I better die in Madina
#CoronavirusPandemic #Covid_19",13.032667,5.026044
"Oh yeah, sure, gas prices are gonna go down....but getting the CoronaVirus is so much less concerning.? #CovidDon #Covid_19 #TrumpCrash #TrumpIsAMoron #TrumpIsAnIdiot",14.353174,3.7669387
"Enjoy the best shows from Sky TV and Netflix side by side, for just £25 per month! Sky Q. All in one place. Easy.",11.659735,4.6171885
"#pruell prices are getting close to escort  menus.  

$20 a pump 

#CoronavirusPandemic #CoronaVirusUpdate #CoronaOutbreak #Covid_19 #coronavirus #cor",13.12438,4.1712565
Hopefully all these games played behind closed doors will open clubs eyes to how important the fans are to the beautiful game &amp; in turn lower ticket prices.....? #Covid_19,13.315832,4.5809507
Any companies found to be selling antibacterial wipes etc at extremely high prices should be boycotted after this is all over !Disgraceful behaviour at a time like this! Lots saying how entrepreneurial it is ! What a load of BS! Entrepreneurship is about helping also!! #Covid_19,12.766348,3.795595
On the plus side fuel prices have dropped.#CoronavirusPandemic #coronavirus #Covid_19 #CoronaVirusUpdate,14.241753,4.0247154
JUST IN: Oil prices now down by over 6%,14.424019,4.016966
"#Airbnb some hosts are taking advantage of the #Covid_19 pandemic &amp; charging outrages prices/cancellation fees.  Just got hit w/ charge of $450 for 1 night b/c they literally said, ""we have to make money somehow.""  I'll never use @airbnb again. A hotel would have refunded money.",12.788098,4.7386556
"Catching flights and not feelings... The prices are falling y'all ?
https://t.co/wo1DYYSXfr

#Covid_19",13.118353,5.000082
Going to have to check this out. Wonder what the prices are with  #COVID2019 running amok ? https://t.co/yYUPcnzDxQ,13.359025,4.459712
"@Fly_Norwegian I skipped dealing with you guys filed a complaint with Aviation Consumer Protection Division
Office of Aviation Enforcement and Proceedings!
AND THEN
I filed a charge back with American Express
GOODBYE
#boycottnorwegian #italy #Co",12.822889,4.8266006
"So, where was all this persecuting price gougers during the bitcoin mining gouging of video card prices? ?? #gaming #bitcoinmining #Covid_19 #coronavirus",13.578077,4.184943
"Hey everybody lower gas prices are like a tax cut! - the dumbest man on earth.

Chew on that, oh wait you cant its poison, greed, hate.

#Covid_19 #CoronavirusPandemic",14.334059,4.1006975
"Facts:
1.Stock Market plunged by 3000 points only yesterday.
2.A failed agreement between Saudi Arabia and Russia caused the global oil prices to plunge 30%.
3.Prices hit record low and a recession is predicted.  #CoronavirusPandemic  #Covid_19  #lockdown  #coronavirus  #Corona",14.265749,3.8948584
Russia dropping oil prices to screw up U.S. drilling &amp; fracking.  China dumps WuFlu on U.S.  All in hopes to dismantle our economy!  Do not forget trump said its better to deal with us before elections than after! Bad for xi n china! #coronavirus #Covid_19 #Trump #Trump2020 https://t.co/9TwZ40iXyy,14.4327,3.8026035
"Is it just me, or has anyone else noticed that petrol and diesel prices have dropped since the Coronavirus outbreak? Or am I missing another reason? #Covid_19",14.170421,4.1216645
"California has prices have dropped and if you use Safeway club card, you are going to pay much less. This is what I paid for 91.

#Covid_19 
#CoronaOutbreak 
#coronapocalypse ? https://t.co/Syyi7XlU2D",12.893946,4.1114044
"Corona strikes ...
Global market shaking ...
Oil prices drop...

@america @POTUS orders the purchase of crude oil to fill up their reserves .

Opportunist? 

#CoronaOutbreak #Covid_19 #FridayThe13th #COVID19 #FridayMotivation",14.40675,3.92994
Can someone explain why the gas prices so low? With everything going #Covid_19 #CoronaOutbreak,14.317796,4.1346335
"The economic effect of Covid-19 will likely reduce global demand for oil and will effect other sectors. Saudi Arabia has forced oil prices down to $30 a barrel as well. 

#ahg #finance x #financeservices #coronavirus #oilvscoronavirus #gulfcountires #economy #globaleffect https://t.co/cU77CasWG3",14.366753,3.8472137
"Commodity prices are about to shoot up!! All Public gatherings about to be cancelled. 

Lets brace our selves fot tough economic times ahead. 

#coronaviruskenya 
#CoronaVirusUpdate 
#Covid_19 https://t.co/QeDJNoanxO",14.137684,3.9908464
"#Cryptocurrencies see $93.5 billion wiped off value in 24 hours as bitcoin plunges 48% 
#bakarainvest
#Covid_19 
#?????_??????
https://t.co/lXRz7SK7Zs",13.704217,3.792896
"#Covid_19 is in the way. HOWEVER, these flight prices are lovely!",13.122373,5.0122657
"This thing is at almost 10$ with taxes its crazy (pharmacy)!!! I bought this a long time ago at only 4$ special. 
#notsure about #prices #Covid_19 https://t.co/2WJK3imK6h",13.367186,4.2290287
I havent seen gas prices this low in years!!! Thanks #Covid_19! #SilverLining,14.391266,4.171644
This #OilPriceWar + #Covid_19 makes for some kookoobananas gas prices ? https://t.co/At17XZYpNu,14.3588915,4.1392307
"Q: Should stocks be worth less today than they were a month ago given the continued spread of #Covid_19?

A: Highly likely. Stock prices weren't pricing in bad news before. Now they are.",13.892198,3.908298
"Thanks to factors such as #Covid_19, an oil crash and the Rand/Dollar exchange rate, a substantial decline in SA fuel prices is on the cards for April 2020. More insight here: https://t.co/2slfrpsmZf https://t.co/2L7iqtBDIO",14.169508,4.217066
"Could everyone please pay with a card, no cash exchanges. Thank you from a retail store manager. #Covid_19",11.752409,3.961552
"If you booked a trip or event tickets, &amp; its been cancelled because of #coronavirus, you may have rights to a refund. For more, see our information about `frustrated contracts: https://t.co/SUQwow0t7P

#COVID19 #COVID_19",12.616303,4.669007
Honestly never thought we would be at prices like this just 2 months before the halvening #Bitcoin #Covid_19,13.516516,4.2095504
"OMG. IS HE REALLY TALKING ABOUT OIL PRICES?
Sorry, I'll stop screaming now. #Covid_19",14.474506,3.9170716
Am I imagining things or did @TeamViewer_help triple their prices last night?  £11.90 -&gt; £31.90? #COVID_19uk #Covid_19,13.149467,4.3505774
"@TUIUK @FirstChoiceUK if Im due to fly long-haul in the next week, will I be contacted directly by yourselves should there be any cancellations due to #Coronavirus? I booked directly through Holiday Hypermarket &amp; First Choice. Thanks!",12.751177,4.87673
"Hey, @cvspharmacy you have some SERIOUS effing explaining to do. Spotted at your S Broadway DTLA store. Receipt from my just in case purchase Sat 3/07, and tagged prices in store this am (3/13). This is despicable and illegal. #Covid_19 #pricegouging @GavinNewsom https://t.co/7caxksH3L0",12.779856,4.0129514
Seriously airlines are the spawn of satan... Be safe from #COVID2019  or go places in give away prices? My city is in lock down already so can't really travel tho ahahaha #airlines #discounts #choosewisely https://t.co/Hzv5K3rcWd,13.087054,5.031494
"Oil prices have collapsed this week. #Covid_19 
https://t.co/lj9RWtYwXM",14.421207,3.9713964
"Football stock prices have been falling for the last month due to #Covid_19 #CoronavirusPandemic ??

On our LinkedIn, we look at price falls over the past month ?

https://t.co/CCcWDJthm2 https://t.co/pa8AkI8D42",13.756363,4.18011
"What is critical to understand, is that the long-term planning horizons involved, and the momentum that currently exists in the energy transformation, means neither low oil prices nor #Covid_19 will interrupt or change our path towards the decarbonisation of our societies...",14.38208,3.8235886
"Ive gotten four notifications from Hopper this morning about cheap airfare - and they are really good prices. 

People - do not travel right now unless its absolutely necessary. #coronavirus #Covid_19",13.037354,4.99995
@KZapponeTD @DCYAPress What is the story with crèches etc that continue to charge full prices while they are closed but not pay their workers. Will the gov insist on fees being refunded to parents? Asking for 30K-ish friends #Covid_19 #Coronavirusireland,12.64778,4.3382254
"#Covid_19 is affecting Nigeria economy. 

After oil prices fel to around $30 per barrel,bad news headlines began to flow, the Nigerian stock market lost ?1 trilion; which had been stable since 2016,lost over 10% of its value against the dolar on the paralel market. 
$1 = ?400 https://t.co/LxmJlYVZAO",14.256468,3.8820782
"Gas prices the lowest they've been in YEARS.

Plot twist: everything you wanted to do has been canceled and/or you're not allowed to go. 

#Covid_19 #WashYourHandsTilTheyreClean #CauseTheyreDirty",14.318805,4.2405844
"BREAKING: #PEI gas prices drop 7 cents a litre overnight. At self-serve outlets, regular unleaded gasoline will now range from 94.8 to 95.9 cpl #CNDpoli #PEIpoli #Covid_19 @CBCPEI",14.265412,4.235091
"#WallStreet #Covid_19 The real reason the stock markets took a huge dive is they are selling off all there stocks because the oil price has dropped so low they are buying it in bulk, the markets may have dropped but oil prices went through the roof, its a big con job https://t.co/8k7X1Cokhc",14.220401,3.8702476
"Hey idiots... 

When demand is greater than supply, prices go up. 

Buy what you need, not enough to last 14 years. 

#Covid_19 #Shoppersdrugmart #panicbuying",13.519347,4.098169
"@Ryanair is at its usual #Covid_19 #ripoff best. Mail says ""Rebook free through March 31"" - good #PR no?  but there's a catch - Tries to rebook in summer - all flight prices offered are more expensive  - then you check live prices... way lower #scandalous",13.01508,4.9892864
These inflated prices are pretty sad. See what panicked buyers are doing with all the tiolet paper and disinfecting wipes they are hoarding #CoronavirusPandemic #coronavirus #Covid_19 #COVID https://t.co/xpVbd5654O,13.063778,3.8396275
Travelzoo offering holidays for £33? sad thing is when normalcy resumes theyll hike the prices up to try and recoup on where they lost out ? #KnockOnEffectsCovid19 #Covid_19,12.911796,4.6317377
"#Covid_19 or not, gas prices look like theyre straight from an early 90s country music video right now.  I could drive to the moon.",14.383954,4.1376114
"0% chance of any Premier League games happening this weekend.

They wouldnt dare, and they shouldnt! We already get shafted with ticket prices. Dont have the audacity to play through a pandemic as well...

#Covid_19 #CoronavirusPandemic",13.339244,4.5247784
Did #Trump just say hell purchase large amounts of crude oil at a very cheap price because its a good time to fill it up after oil prices crashed a week ago? ??? #Covid_19 #TrumpAddress,14.511088,3.8869424
@crypto_rookie $btc Its hard to say but a retest of 3600 is likely in the next few days. I still believe we will see lower prices as #Covid_19 is just getting starting in the states,13.535232,4.2917905
"Hey pals! Try not to spread anything to those who may be more vulnerable than you... its totally tempting to take advantage of low flight prices but we gotta think of others rn... otherwise Id be in BC having a time! 
#Covid_19",13.085033,5.031655
Prices are going up on @amazon for @Theraflu. 2 boxes $30 but only 1 box $7 @Walmart  #virus #CoronaOutbreak #coronapocalypse #Covid_19 #FoxNews #cnn #MSNBC #cdc https://t.co/EviWvNSI30,13.547073,4.0033383
"Just out of interest my American friends, have gun and ammunition prices gone up in the US since the #Covid_19 crisis started?",13.7508,4.104756
"Osu cemetery bookings at affordable prices,Dm if interested 

#Covid_19 https://t.co/qRNGuCyuSy",12.877066,4.7404494
"For those that are cashlong, patient,calm&amp;have knowhow in cherrypicking credit assets this will be a chance to arb the gap btw real&amp;perceived risk.Even a slight trend of recovery will see asset prices rebound sharply-fuelled also by the algo driven ETFs in the mkt. #Covid_19",13.8836155,3.835494
"Pound continues to fall against the dollar and euro. Lost nearly 10% since mid February.

Looks like the perfect storm of #brexit and #coronavirus will cause a sharp increase in prices in the shops once the effect works through over the next few weeks.",14.012522,3.9450195
"@TullowOilplc looks unlikely to recover in 2020. The collapse of the Opec+ alliance and the growing threat of #Covid_19 mean greater market volatility will likely push crude prices to new lows, writes @charles_waine 
https://t.co/OVjyp9j839",14.110716,3.9156656
#MorningJoe Lower oil prices is not a massive boom It is attack upon #USA economy by #Russians and #Saudis. @realDonaldTrump should sanction today 50% on any Nation using Saudi or Russian oil 0% tariff for products made with US oil. This was economic attack on top of #Covid_19 https://t.co/yfB6VY4sk7,14.50425,3.9512684
Be vigilant about scam calls regarding the Covid-19 situation and exercise caution with online shopping and protecting your private information!  Questions? The Consumer Protection Division can be reached at 1-800-300-1986 or via email at consumerhelp@state.sd.us,12.254101,3.7652526
Ive never seen airline prices as low and desperate as they are now. #panicbuying #Covid_19 #CoronaOutbreak #coronavirus,13.088576,4.98349
"The way #Sensex is falling in last few days, speculative investment will happen and people will buy more and more gold, which will further increase our current account deficit. Tough days for our economy going ahead when it was already not doing good.",13.996182,3.7703412
"Impact of #Covid_19, fall in #Crude prices and #YesBank crisis on #markets is short term. Consider each dip as an opportunity to buy. 
To know more, read this article from our Equity Desk. 
https://t.co/B0Y8mUlGFr
@arjungn80 @skrishnakumar66 @ajitnarasimhan @MD_SundaramMF",13.979984,3.9043944
"As a joke, I was going to post a pic of a roll of TP captioning it yours for the low price of $100 but ppl are actually doing this for real. This panic buying is going to drive prices way up. We all need to calm down, no more panic buying #covid19Canada #panicbuying #Covid_19",13.256086,4.024044
"Not thrilled about the craziness at the stores however I am liking these gas prices in Columbia, SC #lowgasprices #Covid_19 https://t.co/y16UUPpW9E",14.277676,4.310644
"Let me check flight prices, I personally dont fear #Covid_19 ke flu nyana daideng",13.090735,5.038301
"Via @NYDailyNews, U.S. stock exchanges experienced historic drops March 12 despite a $1.5 trillion cash infusion from the Federal Reserve: https://t.co/5oVgaYlvRJ #coronavirusoutbreak #coronavirus #food #foodindustry #economics #federalreserve #foodinstitute",13.834504,4.109318
Anyone with information about price-gouging call (800) 432-2310 to request a paper complaint form be sent by mail or file a complaint with the Attorney Generals Consumer Protection Division online at https://t.co/rkzAxkoVDg #coronavirus #panicbuying #Covid_19 #kansas,12.660072,4.18691
Gas prices dropping and airline tickets practically free. Yet everything that would be fun to see or do is cancelled. #coronavirus #Covid_19 #panic #fml,13.013153,4.846031
"The #Covid_19 continues to spread, the travel industry takes a hit! Major Airlines drop #ticket prices by significant amounts.",13.10997,4.9848924
"Coronavirus: EasyJet waives change fees as flights are cancelled:

Flexible policy applies until further notice

https://t.co/EMt4oYDhoF",12.712319,4.729762
"The global spread of the #COVID_19 pandemic and the accompanying sluggish market demand will limit the growth of #memory prices in 2H20, with #NAND_Flash prices potentially going into a decline !
https://t.co/yodpIht5mC
cc: @vladsavov @natashakhanhk @IanKingSky @LeenaRao @scurtsy",13.714267,4.03263
Report retailers or manufacturers colluding &amp;/or hoarding with intention to increase prices of consumer goods and take advantage of the COVID-19 case to Competition Authority Of Kenya - 0202779000/0202628233 or info@cak.go.ke https://t.co/m0QZgQHUcE,12.623737,3.7595868
"Crude Oil prices rise slightly on Friday but sentiment remains weak as global demand evaporates from corona virus pandemic.
#WindsorBrokers #FX #Forex #Oil #Covid_19",14.433932,4.0728517
"Easyjet have emailed customers informing them that no ""change charge"" will apply to consumers who wish to change travel plans due to the #coronavirus fears. 

You can contact our expert consumer advisors on 0808 164 6000 if you have any enquiries or issues ? https://t.co/FdapzTUP6F",12.717112,4.5944724
